"Statistic Label","Region","Type of Animal","Year","UNIT","VALUE"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","1991","000 Head","916.5"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","1992","000 Head","924.3"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","1993","000 Head","928.4"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","1994","000 Head","934"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","1995","000 Head","933.6"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","1996","000 Head","973.8"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","1997","000 Head","1014.6"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","1998","000 Head","1033"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","1999","000 Head","995.8"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","2000","000 Head","967.3"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","2001","000 Head","979.5"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","2002","000 Head","970.9"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","2003","000 Head","961.7"
"Number of Livestock in June (1991 - 2004)","Border","Total cattle","2004","000 Head","954.9"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","1991","000 Head","1402.8"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","1992","000 Head","1407.1"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","1993","000 Head","1377.5"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","1994","000 Head","1330.8"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","1995","000 Head","1336.3"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","1996","000 Head","1298"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","1997","000 Head","1332.7"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","1998","000 Head","1377.5"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","1999","000 Head","1239.7"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","2000","000 Head","1336.9"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","2001","000 Head","1330.9"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","2002","000 Head","1285.6"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","2003","000 Head","1240.3"
"Number of Livestock in June (1991 - 2004)","Border","Total sheep","2004","000 Head","1240.8"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","1991","000 Head","304.5"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","1992","000 Head","327.4"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","1993","000 Head","438.4"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","1994","000 Head","448"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","1995","000 Head","443.7"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","1996","000 Head","440.4"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","1997","000 Head","418.2"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","1998","000 Head","508.9"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","1999","000 Head","478.1"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","2000","000 Head","482.2"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","2001","000 Head","533.4"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","2002","000 Head","543.5"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","2003","000 Head","533.6"
"Number of Livestock in June (1991 - 2004)","Border","Total pigs","2004","000 Head","376.9"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","1991","000 Head","4.7"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","1992","000 Head","5.4"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","1993","000 Head","5.9"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","1994","000 Head","6"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","1995","000 Head","6.7"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","1996","000 Head","7.1"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","1997","000 Head","7.4"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","1998","000 Head","7.5"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","1999","000 Head","7.5"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","2000","000 Head","7.3"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","2001","000 Head","7.8"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","2002","000 Head","7.9"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","2003","000 Head","7.3"
"Number of Livestock in June (1991 - 2004)","Border","Total horses and ponies","2004","000 Head","7"
"Number of Livestock in June (1991 - 2004)","Border","Total mules, jennets and asses","1991","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","Border","Total mules, jennets and asses","1992","000 Head","1.2"
"Number of Livestock in June (1991 - 2004)","Border","Total mules, jennets and asses","1993","000 Head","1.3"
"Number of Livestock in June (1991 - 2004)","Border","Total mules, jennets and asses","1994","000 Head","1.2"
