"STATISTIC Label","Year","Type of Animal","Region","UNIT","VALUE"
"Number of Livestock in June","2005","Total cattle","Border","000 Head","933.5"
"Number of Livestock in June","2005","Total cattle","Midland","000 Head","801.6"
"Number of Livestock in June","2005","Total cattle","West","000 Head","978.7"
"Number of Livestock in June","2005","Total cattle","Dublin plus Mid East","000 Head","597.1"
"Number of Livestock in June","2005","Total cattle","Mid-West","000 Head","1048.7"
"Number of Livestock in June","2005","Total cattle","South-East","000 Head","1242.5"
"Number of Livestock in June","2005","Total cattle","South-West","000 Head","1389.7"
"Number of Livestock in June","2005","Total sheep","Border","000 Head","1173.4"
"Number of Livestock in June","2005","Total sheep","Midland","000 Head","489.7"
"Number of Livestock in June","2005","Total sheep","West","000 Head","1727.9"
"Number of Livestock in June","2005","Total sheep","Dublin plus Mid East","000 Head","956.4"
"Number of Livestock in June","2005","Total sheep","Mid-West","000 Head","196.7"
"Number of Livestock in June","2005","Total sheep","South-East","000 Head","1051.5"
"Number of Livestock in June","2005","Total sheep","South-West","000 Head","796.6"
"Number of Livestock in June","2005","Total pigs","Border","000 Head","521.9"
"Number of Livestock in June","2005","Total pigs","Midland","000 Head","227.3"
"Number of Livestock in June","2005","Total pigs","West","000 Head","47.2"
"Number of Livestock in June","2005","Total pigs","Dublin plus Mid East","000 Head","80.1"
"Number of Livestock in June","2005","Total pigs","Mid-West","000 Head","101.5"
"Number of Livestock in June","2005","Total pigs","South-East","000 Head","331"
"Number of Livestock in June","2005","Total pigs","South-West","000 Head","378.8"
"Number of Livestock in June","2005","Total horses and ponies","Border","000 Head","8.4"
"Number of Livestock in June","2005","Total horses and ponies","Midland","000 Head","6.9"
"Number of Livestock in June","2005","Total horses and ponies","West","000 Head","13.2"
"Number of Livestock in June","2005","Total horses and ponies","Dublin plus Mid East","000 Head","12.8"
"Number of Livestock in June","2005","Total horses and ponies","Mid-West","000 Head","12.4"
"Number of Livestock in June","2005","Total horses and ponies","South-East","000 Head","15.8"
"Number of Livestock in June","2005","Total horses and ponies","South-West","000 Head","10.5"
"Number of Livestock in June","2005","Total mules, jennets and asses","Border","000 Head","1.1"
"Number of Livestock in June","2005","Total mules, jennets and asses","Midland","000 Head","0.3"
"Number of Livestock in June","2005","Total mules, jennets and asses","West","000 Head","1.7"
"Number of Livestock in June","2005","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.3"
"Number of Livestock in June","2005","Total mules, jennets and asses","Mid-West","000 Head","0.7"
"Number of Livestock in June","2005","Total mules, jennets and asses","South-East","000 Head","0.5"
"Number of Livestock in June","2005","Total mules, jennets and asses","South-West","000 Head","1.3"
"Number of Livestock in June","2005","Total goats","Border","000 Head","1.2"
"Number of Livestock in June","2005","Total goats","Midland","000 Head","1"
"Number of Livestock in June","2005","Total goats","West","000 Head","1.3"
"Number of Livestock in June","2005","Total goats","Dublin plus Mid East","000 Head","1.2"
"Number of Livestock in June","2005","Total goats","Mid-West","000 Head","0.9"
"Number of Livestock in June","2005","Total goats","South-East","000 Head","1"
"Number of Livestock in June","2005","Total goats","South-West","000 Head","0.9"
"Number of Livestock in June","2006","Total cattle","Border","000 Head","925.3"
"Number of Livestock in June","2006","Total cattle","Midland","000 Head","814"
"Number of Livestock in June","2006","Total cattle","West","000 Head","979.4"
"Number of Livestock in June","2006","Total cattle","Dublin plus Mid East","000 Head","592.6"
"Number of Livestock in June","2006","Total cattle","Mid-West","000 Head","1041.5"
"Number of Livestock in June","2006","Total cattle","South-East","000 Head","1253.1"
"Number of Livestock in June","2006","Total cattle","South-West","000 Head","1371.8"
"Number of Livestock in June","2006","Total sheep","Border","000 Head","1094.9"
"Number of Livestock in June","2006","Total sheep","Midland","000 Head","513.3"
"Number of Livestock in June","2006","Total sheep","West","000 Head","1630.1"
"Number of Livestock in June","2006","Total sheep","Dublin plus Mid East","000 Head","894.4"
"Number of Livestock in June","2006","Total sheep","Mid-West","000 Head","178.6"
"Number of Livestock in June","2006","Total sheep","South-East","000 Head","932.1"
"Number of Livestock in June","2006","Total sheep","South-West","000 Head","729.6"
"Number of Livestock in June","2006","Total pigs","Border","000 Head","535.2"
"Number of Livestock in June","2006","Total pigs","Midland","000 Head","212.2"
"Number of Livestock in June","2006","Total pigs","West","000 Head","53.5"
"Number of Livestock in June","2006","Total pigs","Dublin plus Mid East","000 Head","75.3"
"Number of Livestock in June","2006","Total pigs","Mid-West","000 Head","115.6"
"Number of Livestock in June","2006","Total pigs","South-East","000 Head","309.9"
"Number of Livestock in June","2006","Total pigs","South-West","000 Head","341.4"
"Number of Livestock in June","2006","Total horses and ponies","Border","000 Head","9"
"Number of Livestock in June","2006","Total horses and ponies","Midland","000 Head","7.3"
"Number of Livestock in June","2006","Total horses and ponies","West","000 Head","14.6"
"Number of Livestock in June","2006","Total horses and ponies","Dublin plus Mid East","000 Head","13.2"
"Number of Livestock in June","2006","Total horses and ponies","Mid-West","000 Head","13.6"
"Number of Livestock in June","2006","Total horses and ponies","South-East","000 Head","17.2"
"Number of Livestock in June","2006","Total horses and ponies","South-West","000 Head","11.8"
"Number of Livestock in June","2006","Total mules, jennets and asses","Border","000 Head","1.2"
"Number of Livestock in June","2006","Total mules, jennets and asses","Midland","000 Head","0.3"
"Number of Livestock in June","2006","Total mules, jennets and asses","West","000 Head","2.3"
"Number of Livestock in June","2006","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.4"
"Number of Livestock in June","2006","Total mules, jennets and asses","Mid-West","000 Head","0.8"
"Number of Livestock in June","2006","Total mules, jennets and asses","South-East","000 Head","0.5"
"Number of Livestock in June","2006","Total mules, jennets and asses","South-West","000 Head","1.5"
"Number of Livestock in June","2006","Total goats","Border","000 Head","1"
"Number of Livestock in June","2006","Total goats","Midland","000 Head","1"
"Number of Livestock in June","2006","Total goats","West","000 Head","1.2"
"Number of Livestock in June","2006","Total goats","Dublin plus Mid East","000 Head","1.5"
"Number of Livestock in June","2006","Total goats","Mid-West","000 Head","0.7"
"Number of Livestock in June","2006","Total goats","South-East","000 Head","0.6"
"Number of Livestock in June","2006","Total goats","South-West","000 Head","0.7"
"Number of Livestock in June","2007","Total cattle","Border","000 Head","921.1"
"Number of Livestock in June","2007","Total cattle","Midland","000 Head","801"
"Number of Livestock in June","2007","Total cattle","West","000 Head","981.2"
"Number of Livestock in June","2007","Total cattle","Dublin plus Mid East","000 Head","581.9"
"Number of Livestock in June","2007","Total cattle","Mid-West","000 Head","1016.5"
"Number of Livestock in June","2007","Total cattle","South-East","000 Head","1243.4"
"Number of Livestock in June","2007","Total cattle","South-West","000 Head","1345.8"
"Number of Livestock in June","2007","Total sheep","Border","000 Head","1073.5"
"Number of Livestock in June","2007","Total sheep","Midland","000 Head","412.2"
"Number of Livestock in June","2007","Total sheep","West","000 Head","1481.6"
"Number of Livestock in June","2007","Total sheep","Dublin plus Mid East","000 Head","805.9"
"Number of Livestock in June","2007","Total sheep","Mid-West","000 Head","162.2"
"Number of Livestock in June","2007","Total sheep","South-East","000 Head","892.8"
"Number of Livestock in June","2007","Total sheep","South-West","000 Head","693.3"
"Number of Livestock in June","2007","Total pigs","Border","000 Head","468.3"
"Number of Livestock in June","2007","Total pigs","Midland","000 Head","221.6"
"Number of Livestock in June","2007","Total pigs","West","000 Head","54.6"
"Number of Livestock in June","2007","Total pigs","Dublin plus Mid East","000 Head","80.3"
"Number of Livestock in June","2007","Total pigs","Mid-West","000 Head","94.1"
"Number of Livestock in June","2007","Total pigs","South-East","000 Head","316.3"
"Number of Livestock in June","2007","Total pigs","South-West","000 Head","352.6"
"Number of Livestock in June","2007","Total horses and ponies","Border","000 Head","10.1"
"Number of Livestock in June","2007","Total horses and ponies","Midland","000 Head","7.4"
"Number of Livestock in June","2007","Total horses and ponies","West","000 Head","16.3"
"Number of Livestock in June","2007","Total horses and ponies","Dublin plus Mid East","000 Head","13.7"
"Number of Livestock in June","2007","Total horses and ponies","Mid-West","000 Head","14.2"
