STATISTIC Label,Year,Type of Animal,Region,UNIT,VALUE
Number of Livestock in June,2015,Total cattle,Border,000 Head,793.6
Number of Livestock in June,2015,Total cattle,West,000 Head,930.2
Number of Livestock in June,2015,Total cattle,Mid-West,000 Head,1358.3
Number of Livestock in June,2015,Total cattle,South-East,000 Head,992.6
Number of Livestock in June,2015,Total cattle,South-West,000 Head,1399.1
Number of Livestock in June,2015,Total cattle,Dublin and Mid-East,000 Head,678.5
Number of Livestock in June,2015,Total cattle,Midland,000 Head,811.1
Number of Livestock in June,2015,Total sheep,Border,000 Head,1080.7
Number of Livestock in June,2015,Total sheep,West,000 Head,1391.4
Number of Livestock in June,2015,Total sheep,Mid-West,000 Head,202.8
Number of Livestock in June,2015,Total sheep,South-East,000 Head,580.4
Number of Livestock in June,2015,Total sheep,South-West,000 Head,724.2
Number of Livestock in June,2015,Total sheep,Dublin and Mid-East,000 Head,837.7
Number of Livestock in June,2015,Total sheep,Midland,000 Head,321.5
Number of Livestock in June,2015,Total pigs,Border,000 Head,410.4
Number of Livestock in June,2015,Total pigs,West,000 Head,47.4
Number of Livestock in June,2015,Total pigs,Mid-West,000 Head,201.3
Number of Livestock in June,2015,Total pigs,South-East,000 Head,207.1
Number of Livestock in June,2015,Total pigs,South-West,000 Head,285.4
Number of Livestock in June,2015,Total pigs,Dublin and Mid-East,000 Head,99
Number of Livestock in June,2015,Total pigs,Midland,000 Head,286.4
Number of Livestock in June,2015,Total horses and ponies,Border,000 Head,8.4
Number of Livestock in June,2015,Total horses and ponies,West,000 Head,17
Number of Livestock in June,2015,Total horses and ponies,Mid-West,000 Head,13.5
Number of Livestock in June,2015,Total horses and ponies,South-East,000 Head,13.1
Number of Livestock in June,2015,Total horses and ponies,South-West,000 Head,14.1
Number of Livestock in June,2015,Total horses and ponies,Dublin and Mid-East,000 Head,17.4
Number of Livestock in June,2015,Total horses and ponies,Midland,000 Head,9.6
Number of Livestock in June,2015,"Total mules, jennets and asses",Border,000 Head,1.8
Number of Livestock in June,2015,"Total mules, jennets and asses",West,000 Head,3.4
Number of Livestock in June,2015,"Total mules, jennets and asses",Mid-West,000 Head,1.5
Number of Livestock in June,2015,"Total mules, jennets and asses",South-East,000 Head,0.4
Number of Livestock in June,2015,"Total mules, jennets and asses",South-West,000 Head,0.7
Number of Livestock in June,2015,"Total mules, jennets and asses",Dublin and Mid-East,000 Head,0.6
Number of Livestock in June,2015,"Total mules, jennets and asses",Midland,000 Head,0.5
Number of Livestock in June,2015,Total goats,Border,000 Head,2
Number of Livestock in June,2015,Total goats,West,000 Head,1.9
Number of Livestock in June,2015,Total goats,Mid-West,000 Head,1.9
Number of Livestock in June,2015,Total goats,South-East,000 Head,0.8
Number of Livestock in June,2015,Total goats,South-West,000 Head,1.2
Number of Livestock in June,2015,Total goats,Dublin and Mid-East,000 Head,2
Number of Livestock in June,2015,Total goats,Midland,000 Head,1
Number of Livestock in June,2016,Total cattle,Border,000 Head,814.8
Number of Livestock in June,2016,Total cattle,West,000 Head,953
Number of Livestock in June,2016,Total cattle,Mid-West,000 Head,1420.5
Number of Livestock in June,2016,Total cattle,South-East,000 Head,1032.2
Number of Livestock in June,2016,Total cattle,South-West,000 Head,1455.8
Number of Livestock in June,2016,Total cattle,Dublin and Mid-East,000 Head,699.9
Number of Livestock in June,2016,Total cattle,Midland,000 Head,845
Number of Livestock in June,2016,Total sheep,Border,000 Head,1081.7
Number of Livestock in June,2016,Total sheep,West,000 Head,1414.5
Number of Livestock in June,2016,Total sheep,Mid-West,000 Head,215.9
Number of Livestock in June,2016,Total sheep,South-East,000 Head,573.1
Number of Livestock in June,2016,Total sheep,South-West,000 Head,736.3
Number of Livestock in June,2016,Total sheep,Dublin and Mid-East,000 Head,828.5
Number of Livestock in June,2016,Total sheep,Midland,000 Head,329.1
Number of Livestock in June,2016,Total pigs,Border,000 Head,466.9
Number of Livestock in June,2016,Total pigs,West,000 Head,47.4
Number of Livestock in June,2016,Total pigs,Mid-West,000 Head,218.6
Number of Livestock in June,2016,Total pigs,South-East,000 Head,181.7
Number of Livestock in June,2016,Total pigs,South-West,000 Head,292.5
Number of Livestock in June,2016,Total pigs,Dublin and Mid-East,000 Head,99.8
Number of Livestock in June,2016,Total pigs,Midland,000 Head,287.4
Number of Livestock in June,2016,Total horses and ponies,Border,000 Head,8.9
Number of Livestock in June,2016,Total horses and ponies,West,000 Head,17.5
Number of Livestock in June,2016,Total horses and ponies,Mid-West,000 Head,16.5
Number of Livestock in June,2016,Total horses and ponies,South-East,000 Head,12.7
Number of Livestock in June,2016,Total horses and ponies,South-West,000 Head,11.4
Number of Livestock in June,2016,Total horses and ponies,Dublin and Mid-East,000 Head,17.1
Number of Livestock in June,2016,Total horses and ponies,Midland,000 Head,8.2
Number of Livestock in June,2016,"Total mules, jennets and asses",Border,000 Head,1.9
Number of Livestock in June,2016,"Total mules, jennets and asses",West,000 Head,2.7
Number of Livestock in June,2016,"Total mules, jennets and asses",Mid-West,000 Head,2.2
Number of Livestock in June,2016,"Total mules, jennets and asses",South-East,000 Head,0.4
Number of Livestock in June,2016,"Total mules, jennets and asses",South-West,000 Head,1.1
Number of Livestock in June,2016,"Total mules, jennets and asses",Dublin and Mid-East,000 Head,0.4
Number of Livestock in June,2016,"Total mules, jennets and asses",Midland,000 Head,0.4
Number of Livestock in June,2016,Total goats,Border,000 Head,1.6
Number of Livestock in June,2016,Total goats,West,000 Head,1.6
Number of Livestock in June,2016,Total goats,Mid-West,000 Head,1.6
Number of Livestock in June,2016,Total goats,South-East,000 Head,0.8
Number of Livestock in June,2016,Total goats,South-West,000 Head,1.1
Number of Livestock in June,2016,Total goats,Dublin and Mid-East,000 Head,1.8
