"Statistic Label","Region","Type of Animal","Year","UNIT","VALUE"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","1991","000 Head","137"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","1992","000 Head","132.4"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","1993","000 Head","130.9"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","1994","000 Head","129.7"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","1995","000 Head","129.5"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","1996","000 Head","133.1"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","1997","000 Head","129.7"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","1998","000 Head","128.7"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","1999","000 Head","123"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","2000","000 Head","127.5"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","2001","000 Head","129.2"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","2002","000 Head","128"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","2003","000 Head","122.1"
"Number of Livestock in June (1991 - 2004)","Border","Dairy cows","2004","000 Head","120.5"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","1991","000 Head","164.5"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","1992","000 Head","174"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","1993","000 Head","191.1"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","1994","000 Head","194"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","1995","000 Head","200.2"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","1996","000 Head","212.5"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","1997","000 Head","231.8"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","1998","000 Head","238.2"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","1999","000 Head","234.9"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","2000","000 Head","223.2"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","2001","000 Head","225.1"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","2002","000 Head","216.5"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","2003","000 Head","218.4"
"Number of Livestock in June (1991 - 2004)","Border","Other cows","2004","000 Head","217.2"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","1991","000 Head","2.9"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","1992","000 Head","3.4"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","1993","000 Head","4.2"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","1994","000 Head","4.7"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","1995","000 Head","5.2"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","1996","000 Head","5.9"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","1997","000 Head","6.9"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","1998","000 Head","7.2"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","1999","000 Head","7.6"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","2000","000 Head","8.6"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","2001","000 Head","9.1"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","2002","000 Head","9.6"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","2003","000 Head","9.7"
"Number of Livestock in June (1991 - 2004)","Border","Bulls","2004","000 Head","10.2"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","1991","000 Head","128.8"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","1992","000 Head","134.7"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","1993","000 Head","129.7"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","1994","000 Head","129.4"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","1995","000 Head","118.6"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","1996","000 Head","120.5"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","1997","000 Head","114.9"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","1998","000 Head","119.9"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","1999","000 Head","117.7"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","2000","000 Head","115.1"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","2001","000 Head","110.3"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","2002","000 Head","99.2"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","2003","000 Head","105.7"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 2 years and over","2004","000 Head","109.5"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1991","000 Head","215.7"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1992","000 Head","210.8"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1993","000 Head","196.5"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1994","000 Head","202.4"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1995","000 Head","198.4"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1996","000 Head","201.9"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1997","000 Head","216.2"
