STATISTIC Label,Year,Type of Animal,Region,UNIT,VALUE
Number of Livestock in June,2005,Dairy cows,Border,000 Head,105.4
Number of Livestock in June,2005,Dairy cows,Midland,000 Head,73
Number of Livestock in June,2005,Dairy cows,West,000 Head,55.6
Number of Livestock in June,2005,Dairy cows,Dublin plus Mid East,000 Head,77.2
Number of Livestock in June,2005,Dairy cows,Mid-West,000 Head,173.7
Number of Livestock in June,2005,Dairy cows,South-East,000 Head,219.5
Number of Livestock in June,2005,Dairy cows,South-West,000 Head,350.7
Number of Livestock in June,2005,Other cows,Border,000 Head,203
Number of Livestock in June,2005,Other cows,Midland,000 Head,138.6
Number of Livestock in June,2005,Other cows,West,000 Head,249.8
Number of Livestock in June,2005,Other cows,Dublin plus Mid East,000 Head,88.7
Number of Livestock in June,2005,Other cows,Mid-West,000 Head,162.2
Number of Livestock in June,2005,Other cows,South-East,000 Head,146.8
Number of Livestock in June,2005,Other cows,South-West,000 Head,139.6
Number of Livestock in June,2005,Bulls,Border,000 Head,10
Number of Livestock in June,2005,Bulls,Midland,000 Head,7.1
Number of Livestock in June,2005,Bulls,West,000 Head,9.2
Number of Livestock in June,2005,Bulls,Dublin plus Mid East,000 Head,5.3
Number of Livestock in June,2005,Bulls,Mid-West,000 Head,9.7
Number of Livestock in June,2005,Bulls,South-East,000 Head,9.4
Number of Livestock in June,2005,Bulls,South-West,000 Head,12
Number of Livestock in June,2005,Cattle: 2 years and over,Border,000 Head,109.6
Number of Livestock in June,2005,Cattle: 2 years and over,Midland,000 Head,131.3
Number of Livestock in June,2005,Cattle: 2 years and over,West,000 Head,128.2
Number of Livestock in June,2005,Cattle: 2 years and over,Dublin plus Mid East,000 Head,118.1
Number of Livestock in June,2005,Cattle: 2 years and over,Mid-West,000 Head,131.4
Number of Livestock in June,2005,Cattle: 2 years and over,South-East,000 Head,156.6
Number of Livestock in June,2005,Cattle: 2 years and over,South-West,000 Head,135.2
Number of Livestock in June,2005,Cattle: 1-2 years,Border,000 Head,236.5
Number of Livestock in June,2005,Cattle: 1-2 years,Midland,000 Head,238.4
Number of Livestock in June,2005,Cattle: 1-2 years,West,000 Head,249.7
Number of Livestock in June,2005,Cattle: 1-2 years,Dublin plus Mid East,000 Head,166.8
Number of Livestock in June,2005,Cattle: 1-2 years,Mid-West,000 Head,270.5
Number of Livestock in June,2005,Cattle: 1-2 years,South-East,000 Head,357.4
Number of Livestock in June,2005,Cattle: 1-2 years,South-West,000 Head,353.2
Number of Livestock in June,2005,Cattle: under 1 year,Border,000 Head,269.1
Number of Livestock in June,2005,Cattle: under 1 year,Midland,000 Head,213.1
Number of Livestock in June,2005,Cattle: under 1 year,West,000 Head,286.2
Number of Livestock in June,2005,Cattle: under 1 year,Dublin plus Mid East,000 Head,141
Number of Livestock in June,2005,Cattle: under 1 year,Mid-West,000 Head,301.2
Number of Livestock in June,2005,Cattle: under 1 year,South-East,000 Head,352.8
Number of Livestock in June,2005,Cattle: under 1 year,South-West,000 Head,398.9
Number of Livestock in June,2006,Dairy cows,Border,000 Head,106.5
Number of Livestock in June,2006,Dairy cows,Midland,000 Head,75.7
Number of Livestock in June,2006,Dairy cows,West,000 Head,55.2
Number of Livestock in June,2006,Dairy cows,Dublin plus Mid East,000 Head,78.6
Number of Livestock in June,2006,Dairy cows,Mid-West,000 Head,177.4
Number of Livestock in June,2006,Dairy cows,South-East,000 Head,229.2
Number of Livestock in June,2006,Dairy cows,South-West,000 Head,362.1
Number of Livestock in June,2006,Other cows,Border,000 Head,210.5
Number of Livestock in June,2006,Other cows,Midland,000 Head,147.9
Number of Livestock in June,2006,Other cows,West,000 Head,261.4
Number of Livestock in June,2006,Other cows,Dublin plus Mid East,000 Head,92.3
Number of Livestock in June,2006,Other cows,Mid-West,000 Head,168.7
Number of Livestock in June,2006,Other cows,South-East,000 Head,157
